"Magnitude of electric impedance Z(f)"			
"Measured"		"Fitted"	
"Frequency [Hz]"	"[Ohm]"	"Frequency [Hz]"	"[Ohm]"
1130.86	4.72106	1130.86	4.02547
1157.23	4.75922	1157.23	4.0704
1185.06	4.80967	1185.06	4.11832
1212.89	4.86273	1212.89	4.16671
1240.72	4.91468	1240.72	4.21553
1270.02	4.96529	1270.02	4.26734
1299.32	5.02164	1299.32	4.31956
1330.08	5.08764	1330.08	4.37479
1360.84	5.14973	1360.84	4.43039
1393.07	5.2265	1393.07	4.48899
1425.29	5.30674	1425.29	4.54792
1458.98	5.38041	1458.98	4.60985
1492.68	5.46421	1492.68	4.67206
1527.83	5.55934	1527.83	4.73723
1562.99	5.63856	1562.99	4.80264
1599.61	5.66473	1599.61	4.87097
1637.7	5.70531	1637.7	4.94222
1675.78	5.74446	1675.78	5.01362
1715.33	5.8241	1715.33	5.08787
1754.88	5.92866	1754.88	5.16219
1795.9	6.00181	1795.9	5.23931
1838.38	6.07229	1838.38	5.31919
1880.86	6.1189	1880.86	5.39902
1924.8	6.1577	1924.8	5.48152
1970.21	6.20396	1970.21	5.56665
2015.63	6.23897	2015.63	5.65161
2062.5	6.29238	2062.5	5.73909
2110.84	6.34614	2110.84	5.82903
2160.64	6.40547	2160.64	5.92137
2210.45	6.47171	2210.45	6.01334
2261.72	6.5267	2261.72	6.10759
2315.92	6.60317	2315.92	6.20672
2370.12	6.67771	2370.12	6.30528
2424.32	6.78553	2424.32	6.40325
2481.45	6.88818	2481.45	6.50584
2540.04	6.9917	2540.04	6.6103
2598.63	7.11554	2598.63	6.71396
2660.16	7.19226	2660.16	6.8219
2721.68	7.26803	2721.68	6.9289
2784.67	7.30364	2784.67	7.03744
2850.59	7.31953	2850.59	7.14991
2916.5	7.33391	2916.5	7.26121
2985.35	7.34414	2985.35	7.37619
3055.66	7.32079	3055.66	7.49226
3125.98	7.36434	3125.98	7.60694
3199.22	7.44069	3199.22	7.72491
3273.93	7.56867	3273.93	7.84367
3351.56	7.66798	3351.56	7.96539
3429.2	7.69792	3429.2	8.08538
3509.77	7.79565	3509.77	8.20807
3591.8	7.8725	3591.8	8.33108
3675.29	7.99647	3675.29	8.45432
3761.72	8.06421	3761.72	8.57981
3849.61	8.1734	3849.61	8.70528
3938.96	8.27367	3938.96	8.83065
4031.25	8.38926	4031.25	8.95782
4125	8.49595	4125	9.08467
4221.68	8.6131	4221.68	9.21303
4319.82	8.71518	4319.82	9.34084
4420.9	8.83583	4420.9	9.4699
4524.9	8.95283	4524.9	9.60003
4630.37	9.07407	4630.37	9.72931
4738.77	9.19343	4738.77	9.85941
4850.1	9.31018	4850.1	9.99021
4962.89	9.44306	4962.89	10.1199
5078.61	9.58437	5078.61	10.2501
5197.27	9.70842	5197.27	10.3806
5318.85	9.80637	5318.85	10.5114
5443.36	9.96216	5443.36	10.6424
5570.8	10.0983	5570.8	10.7734
5701.17	10.1883	5701.17	10.9044
5834.47	10.3332	5834.47	11.0353
5970.7	10.4526	5970.7	11.1661
6109.86	10.6158	6109.86	11.2966
6253.42	10.7573	6253.42	11.4282
6398.44	10.9003	6398.44	11.5582
6549.32	11.0244	6549.32	11.6904
6701.66	11.1678	6701.66	11.8209
6858.4	11.3034	6858.4	11.9523
7018.07	11.449	7018.07	12.0832
7182.13	11.6381	7182.13	12.2149
7350.59	11.7674	7350.59	12.3474
7521.97	11.9372	7521.97	12.4794
7697.75	12.0982	7697.75	12.612
7877.93	12.2266	7877.93	12.7454
8062.5	12.4036	8062.5	12.8795
8251.46	12.5276	8251.46	13.0144
8443.36	12.7108	8443.36	13.1489
8641.11	12.915	8641.11	13.2853
8843.26	13.0457	8843.26	13.4224
9049.8	13.2427	9049.8	13.5605
9260.74	13.4258	9260.74	13.6995
9477.54	13.597	9477.54	13.8404
9698.73	13.7828	9698.73	13.9824
9925.78	13.9825	9925.78	14.1264
10158.7	14.1125	10158.7	14.2725
10396	14.3307	10396	14.42
10637.7	14.5485	10637.7	14.5688
10886.7	14.6882	10886.7	14.7208
11141.6	14.8744	11141.6	14.8753
11402.3	15.0248	11402.3	15.0323
11668.9	15.2535	11668.9	15.1919
11941.4	15.4429	11941.4	15.3543
12219.7	15.6945	12219.7	15.5195
12505.4	15.8564	12505.4	15.6885
12798.3	16.103	12798.3	15.8614
13097.2	16.2793	13097.2	16.0374
13403.3	16.4294	13403.3	16.2175
13716.8	16.6134	13716.8	16.4019
14037.6	16.829	14037.6	16.5906
14365.7	17.006	14365.7	16.7837
14701.2	17.204	14701.2	16.9815
15045.4	17.4624	15045.4	17.1847
15397	17.7378	15397	17.3927
15755.9	17.9024	15755.9	17.6057
16125	18.2163	16125	17.8254
16501.5	18.3772	16501.5	18.0502
16886.7	18.6549	16886.7	18.2812
17282.2	18.8344	17282.2	18.5192
17686.5	19.0535	17686.5	18.7636
