"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
77.2705	0.286643	77.2705	0.27351	77.2705	0.273732		
79.1016	0.281884	79.1016	0.265621	79.1016	0.265903		
80.9326	0.278402	80.9326	0.257899	80.9326	0.258241		
82.7637	0.2639	82.7637	0.250355	82.7637	0.250755		
84.9609	0.257115	84.9609	0.241549	84.9609	0.242017		
86.792	0.241337	86.792	0.234423	86.792	0.234944		
88.623	0.243173	88.623	0.227497	88.623	0.228066		
90.8203	0.212479	90.8203	0.219451	90.8203	0.220072		
93.0176	0.20388	93.0176	0.211696	93.0176	0.212363		
95.2148	0.201491	95.2148	0.204231	95.2148	0.204938		
97.4121	0.206029	97.4121	0.197053	97.4121	0.197793		
99.6094	0.189248	99.6094	0.190159	99.6094	0.190926		
102.173	0.20365	102.173	0.182464	102.173	0.183255		
104.37	0.181738	104.37	0.176159	104.37	0.176966		
106.934	0.162485	106.934	0.169132	106.934	0.169951		
109.131	0.184305	109.131	0.16338	109.131	0.164205		
111.694	0.155311	111.694	0.156974	111.694	0.1578		
114.624	0.144427	114.624	0.150035	114.624	0.150859		
117.188	0.149313	117.188	0.144282	117.188	0.145099		
119.751	0.131995	119.751	0.138811	119.751	0.139618		
122.681	0.13712	122.681	0.132885	122.681	0.133679		
125.61	0.133924	125.61	0.127289	125.61	0.128065		
128.54	0.120367	128.54	0.122001	128.54	0.122759		
131.47	0.135627	131.47	0.117004	131.47	0.117742		
134.399	0.0998614	134.399	0.112279	134.399	0.112995		
137.695	0.110335	137.695	0.107268	137.695	0.107959		
140.991	0.121019	140.991	0.102557	140.991	0.103223		
144.287	0.103833	144.287	0.0981252	144.287	0.0987653		
147.583	0.108961	147.583	0.0939531	147.583	0.0945676		
150.879	0.111684	150.879	0.0900224	150.879	0.0906116		
154.541	0.0816025	154.541	0.0859175	154.541	0.0864793		
158.203	0.0744221	158.203	0.0820687	158.203	0.0826037		
161.865	0.067673	161.865	0.0784564	161.865	0.0789656		
