"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
263.672	0.0567914	263.672	0.0520565	263.672	0.0525256		
269.531	0.0415847	269.531	0.0498505	269.531	0.0503055		
276.855	0.0510756	276.855	0.0472669	276.855	0.0477034		
282.715	0.0459491	282.715	0.0453294	282.715	0.0457509		
290.039	0.0508974	290.039	0.0430572	290.039	0.0434598		
295.898	0.030932	295.898	0.0413508	295.898	0.0417383		
303.223	0.0353829	303.223	0.0393466	303.223	0.0397154		
310.547	0.0310189	310.547	0.0374746	310.547	0.0378252		
317.871	0.0593613	317.871	0.0357243	317.871	0.0360574		
325.195	0.0330672	325.195	0.034086	325.195	0.0344022		
332.52	0.0485528	332.52	0.0325511	332.52	0.032851		
339.844	0.0365272	339.844	0.0311113	339.844	0.0313957		
348.633	0.013315	348.633	0.0294989	348.633	0.0297657		
355.957	0.0267951	355.957	0.0282436	355.957	0.0284965		
364.746	0.0252701	364.746	0.0268344	364.746	0.0270715		
373.535	0.0223241	373.535	0.0255222	373.535	0.0257446		
382.324	0.0269381	382.324	0.0242986	382.324	0.0245073		
391.113	0.0278055	391.113	0.0231562	391.113	0.0233519		
399.902	0.0381387	399.902	0.022088	399.902	0.0222717		
408.691	0.00125421	408.691	0.0210879	408.691	0.0212604		
418.945	0.0212979	418.945	0.0199999	418.945	0.0201603		
429.199	0.0192987	429.199	0.0189893	429.199	0.0191385		
437.988	0.0170969	437.988	0.0181794	437.988	0.0183197		
448.242	0.0210703	448.242	0.0172944	448.242	0.0174252		
459.961	0.0220904	459.961	0.0163554	459.961	0.0164761		
470.215	0.0184773	470.215	0.0155914	470.215	0.015704		
480.469	0.00837937	480.469	0.0148764	480.469	0.0149816		
492.188	0.0181732	492.188	0.0141142	492.188	0.0142116		
503.906	0.0135856	503.906	0.0134055	503.906	0.0134957		
515.625	0.00524644	515.625	0.0127454	515.625	0.0128291		
527.344	0.0115852	527.344	0.0121297	527.344	0.0122074		
540.527	0.0257486	540.527	0.0114854	540.527	0.011557		
552.246	0.0252937	552.246	0.0109519	552.246	0.0110185		
565.43	0.0121667	565.43	0.0103919	565.43	0.0104534		
578.613	0.018137	578.613	0.0098707	578.613	0.00992755		
591.797	0.023684	591.797	0.00938493	591.797	0.00943755		
606.445	0.0122556	606.445	0.00888301	606.445	0.00893135		
621.094	0.00841337	621.094	0.00841729	621.094	0.00846177		
634.277	0.00138001	634.277	0.00802635	634.277	0.00806767		
650.391	0.0089706	650.391	0.00758157	650.391	0.00761938		
665.039	0.00595619	665.039	0.00720599	665.039	0.00724092		
681.152	0.00808214	681.152	0.00682161	681.152	0.00685367		
695.801	0.0133401	695.801	0.00649605	695.801	0.00652574		
711.914	0.0140837	711.914	0.00616188	711.914	0.00618921		
729.492	0.0103317	729.492	0.00582344	729.492	0.00584844		
745.605	0.00583692	745.605	0.005535	745.605	0.00555807		
763.184	0.0195495	763.184	0.00524198	763.184	0.00526314		
782.227	0.00592753	782.227	0.00494774	782.227	0.00496705		
799.805	0.0158844	799.805	0.0046956	799.805	0.00471338		
818.848	0.00968946	818.848	0.00444163	818.848	0.0044579		
837.891	0.0103929	837.891	0.00420583	837.891	0.00422075		
856.934	0.0143905	856.934	0.00398657	856.934	0.00400027		
877.441	0.00473859	877.441	0.00376729	877.441	0.00377981		
897.949	0.00152973	897.949	0.00356391	897.949	0.00357537		
918.457	0.0172534	918.457	0.00337499	918.457	0.00338549		
940.43	0.0118981	940.43	0.00318717	940.43	0.00319676		
962.402	0.00399955	962.402	0.00301309	962.402	0.00302185		
984.375	0.0134227	984.375	0.0028515	984.375	0.00285952		
1007.81	0.00936675	1007.81	0.00269165	1007.81	0.00269897		
1031.25	0.0114072	1031.25	0.00254356	1031.25	0.00255024		
1056.15	0.00581198	1056.15	0.00239789	1056.15	0.00240397		
1079.59	0.00971572	1079.59	0.00227079	1079.59	0.00227636		
1105.96	0.00395776	1105.96	0.00213832	1105.96	0.00214338		
1130.86	0.00650836	1130.86	0.00202251	1130.86	0.00202713		
1157.23	0.0126882	1157.23	0.00190882	1157.23	0.00191304		
1185.06	0.00265373	1185.06	0.00179787	1185.06	0.0018017		
1212.89	0.0154536	1212.89	0.00169536	1212.89	0.00169885		
1240.72	0.00464569	1240.72	0.0016005	1240.72	0.00160368		
1270.02	0.00938681	1270.02	0.00150813	1270.02	0.00151102		
1299.32	0.00729457	1299.32	0.00142274	1299.32	0.00142537		
1330.08	0.00949273	1330.08	0.00133988	1330.08	0.00134227		
1360.84	0.00806797	1360.84	0.00126334	1360.84	0.00126551		
1393.07	0.00222322	1393.07	0.00118928	1393.07	0.00119125		
1425.29	0.0126986	1425.29	0.00112091	1425.29	0.0011227		
1458.98	0.00824777	1458.98	0.00105493	1458.98	0.00105656		
1492.68	0.0112902	1492.68	0.000994039	1492.68	0.000995521		
1527.83	0.00557862	1527.83	0.000935411	1527.83	0.000936756		
1562.99	0.00693729	1562.99	0.000881322	1562.99	0.000882545		
1599.61	0.00981437	1599.61	0.000829342	1599.61	0.000830452		
1637.7	0.0112999	1637.7	0.000779552	1637.7	0.000780557		
1675.78	0.00519875	1675.78	0.000733692	1675.78	0.000734604		
1715.33	0.000840708	1715.33	0.000689822	1715.33	0.000690649		
1754.88	0.0027095	1754.88	0.000649408	1754.88	0.000650158		
1795.9	0.00179468	1795.9	0.000610792	1795.9	0.000611472		
1838.38	0.00319733	1838.38	0.000573987	1838.38	0.000574603		
1880.86	0.00906826	1880.86	0.000540113	1880.86	0.000540671		
1924.8	0.0023377	1924.8	0.00050785	1924.8	0.000508356		
1970.21	0.00278856	1970.21	0.000477189	1970.21	0.000477647		
2015.63	0.00681747	2015.63	0.000448981	2015.63	0.000449397		
2062.5	0.00183244	2062.5	0.000422183	2062.5	0.00042256		
2110.84	0.00364374	2110.84	0.00039677	2110.84	0.000397112		
2160.64	0.00276175	2160.64	0.000372714	2160.64	0.000373022		
2210.45	0.00177386	2210.45	0.000350599	2210.45	0.000350879		
2261.72	0.00392833	2261.72	0.000329661	2261.72	0.000329915		
2315.92	0.00141315	2315.92	0.000309339	2315.92	0.000309568		
2370.12	0.00315223	2370.12	0.000290691	2370.12	0.000290898		
2424.32	0.000842325	2424.32	0.000273548	2424.32	0.000273736		
2481.45	0.000170865	2481.45	0.000256943	2481.45	0.000257114		
2540.04	0.00142973	2540.04	0.000241318	2540.04	0.000241472		
2598.63	0.00159087	2598.63	0.00022697	2598.63	0.000227109		
2660.16	0.00166927	2660.16	0.000213139	2660.16	0.000213265		
2721.68	0.00201054	2721.68	0.000200444	2721.68	0.000200558		
2784.67	0.00209532	2784.67	0.000188504	2784.67	0.000188608		
2850.59	0.00150366	2850.59	0.000177038	2850.59	0.000177132		
2916.5	0.000253657	2916.5	0.000166517	2916.5	0.000166602		
2985.35	0.00114284	2985.35	0.000156432	2985.35	0.000156509		
3055.66	0.00036005	3055.66	0.000146989	3055.66	0.000147058		
3125.98	0.00151641	3125.98	0.000138321	3125.98	0.000138384		
3199.22	0.00105188	3199.22	0.000130032	3199.22	0.000130089		
3273.93	0.000392616	3273.93	0.000122276	3273.93	0.000122328		
3351.56	0.000940483	3351.56	0.000114885	3351.56	0.000114931		
3429.2	0.00108508	3429.2	0.000108105	3429.2	0.000108147		
3509.77	0.00016506	3509.77	0.000101649	3509.77	0.000101688		
3591.8	0.000896316	3591.8	9.56196e-005	3591.8	9.56543e-005		
3675.29	0.000190986	3675.29	8.99873e-005	3675.29	9.00187e-005		
3761.72	0.000255086	3761.72	8.46382e-005	3761.72	8.46667e-005		
3849.61	0.000123684	3849.61	7.96481e-005	3849.61	7.96739e-005		
3938.96	0.000412924	3938.96	7.49913e-005	3938.96	7.50146e-005		
4031.25	0.000486469	4031.25	7.05768e-005	4031.25	7.0598e-005		
4125	0.000218994	4125	6.64607e-005	4125	6.64799e-005		
4221.68	0.000362373	4221.68	6.25644e-005	4221.68	6.25818e-005		
4319.82	0.000128088	4319.82	5.89335e-005	4319.82	5.89493e-005		
4420.9	0.000165262	4420.9	5.55002e-005	4420.9	5.55145e-005		
4524.9	8.8364e-005	4524.9	5.22578e-005	4524.9	5.22708e-005		
4630.37	0.000148374	4630.37	4.92392e-005	4630.37	4.9251e-005		
4738.77	0.000171106	4738.77	4.63901e-005	4738.77	4.64008e-005		
4850.1	0.000218534	4850.1	4.37035e-005	4850.1	4.37132e-005		
4962.89	0.000352455	4962.89	4.12032e-005	4962.89	4.1212e-005		
5078.61	0.000146591	5078.61	3.88459e-005	5078.61	3.88538e-005		
5197.27	0.000192502	5197.27	3.66248e-005	5197.27	3.6632e-005		
5318.85	0.00011764	5318.85	3.45333e-005	5318.85	3.45399e-005		
5443.36	0.000183593	5443.36	3.25649e-005	5443.36	3.25708e-005		
5570.8	8.03297e-005	5570.8	3.0713e-005	5570.8	3.07184e-005		
5701.17	9.77428e-005	5701.17	2.89713e-005	5701.17	2.89762e-005		
5834.47	0.000160714	5834.47	2.73337e-005	5834.47	2.73382e-005		
5970.7	0.00015786	5970.7	2.57944e-005	5970.7	2.57984e-005		
6109.86	0.000122777	6109.86	2.43476e-005	6109.86	2.43512e-005		
6253.42	0.000128212	6253.42	2.29743e-005	6253.42	2.29777e-005		
6398.44	0.000138602	6398.44	2.16975e-005	6398.44	2.17005e-005		
6549.32	0.000149275	6549.32	2.04747e-005	6549.32	2.04774e-005		
6701.66	0.0001071	6701.66	1.93381e-005	6701.66	1.93406e-005		
6858.4	5.5813e-005	6858.4	1.8261e-005	6858.4	1.82633e-005		
7018.07	0.00015995	7018.07	1.72503e-005	7018.07	1.72523e-005		
7182.13	0.00014356	7182.13	1.62933e-005	7182.13	1.62952e-005		
7350.59	0.000130034	7350.59	1.5388e-005	7350.59	1.53897e-005		
7521.97	0.000221993	7521.97	1.45391e-005	7521.97	1.45406e-005		
7697.75	5.26347e-005	7697.75	1.37364e-005	7697.75	1.37378e-005		
7877.93	6.84012e-005	7877.93	1.29778e-005	7877.93	1.29791e-005		
8062.5	0.000111469	8062.5	1.22612e-005	8062.5	1.22624e-005		
8251.46	0.000108995	8251.46	1.15847e-005	8251.46	1.15857e-005		
8443.36	5.37165e-005	8443.36	1.09507e-005	8443.36	1.09517e-005		
8641.11	0.000113856	8641.11	1.03478e-005	8641.11	1.03487e-005		
8843.26	0.000127903	8843.26	9.77907e-006	8843.26	9.77986e-006		
9049.8	9.13862e-005	9049.8	9.24263e-006	9049.8	9.24335e-006		
9260.74	1.47521e-005	9260.74	8.73674e-006	9260.74	8.7374e-006		
9477.54	5.12212e-005	9477.54	8.2566e-006	9477.54	8.25719e-006		
9698.73	2.96073e-005	9698.73	7.80416e-006	9698.73	7.8047e-006		
9925.78	5.5086e-005	9925.78	7.37517e-006	9925.78	7.37566e-006		
10158.7	2.55721e-005	10158.7	6.96871e-006	10158.7	6.96915e-006		
10396	8.2792e-005	10396	6.58611e-006	10396	6.58652e-006		
10637.7	1.08052e-005	10637.7	6.22594e-006	10637.7	6.2263e-006		
10886.7	8.32037e-005	10886.7	5.88293e-006	10886.7	5.88326e-006		
11141.6	0.000116286	11141.6	5.55847e-006	11141.6	5.55877e-006		
11402.3	0.000108893	11402.3	5.25169e-006	11402.3	5.25197e-006		
11668.9	8.60872e-005	11668.9	4.96174e-006	11668.9	4.96199e-006		
11941.4	4.24833e-005	11941.4	4.68777e-006	11941.4	4.688e-006		
12219.7	0.000101994	12219.7	4.42899e-006	12219.7	4.4292e-006		
12505.4	5.36504e-005	12505.4	4.18339e-006	12505.4	4.18358e-006		
12798.3	5.89811e-005	12798.3	3.95051e-006	12798.3	3.95068e-006		
13097.2	0.000130274	13097.2	3.73087e-006	13097.2	3.73102e-006		
13403.3	4.13875e-005	13403.3	3.52279e-006	13403.3	3.52293e-006		
13716.8	4.66828e-006	13716.8	3.32579e-006	13716.8	3.32592e-006		
14037.6	5.53493e-005	14037.6	3.13939e-006	14037.6	3.1395e-006		
14365.7	7.61649e-005	14365.7	2.9631e-006	14365.7	2.96321e-006		
14701.2	3.29977e-005	14701.2	2.79647e-006	14701.2	2.79656e-006		
15045.4	5.99062e-005	15045.4	2.63838e-006	15045.4	2.63846e-006		
15397	2.15103e-005	15397	2.48912e-006	15397	2.4892e-006		
15755.9	4.26354e-005	15755.9	2.34826e-006	15755.9	2.34833e-006		
16125	6.22662e-005	16125	2.21434e-006	16125	2.2144e-006		
16501.5	7.40246e-005	16501.5	2.08811e-006	16501.5	2.08817e-006		
16886.7	9.7811e-005	16886.7	1.96872e-006	16886.7	1.96878e-006		
17282.2	4.52951e-005	17282.2	1.85548e-006	17282.2	1.85553e-006		
17686.5	0.000123374	17686.5	1.74854e-006	17686.5	1.74858e-006		
18099.6	5.73251e-005	18099.6	1.64761e-006	18099.6	1.64765e-006		
